99 Alexander Street, 40.342881,-74.661348
106 Alexander Street, 40.342799,-74.660532 
20 Alexander Street, 40.34628,-74.663388
126 Alexander Street, 40.342271,-74.659942
180 Alexander Street, 40.340719,-74.658735
228 Alexander Street, 40.339274,-74.657614
262 Alexander Street, 40.3379,-74.656924
171 Broadmead Street, 40.345169,-74.642152
22 Chambers Street, 40.350013,-74.663269
2 Dickinson Street, 40.345754,-74.661087
200 Elm Drive, 40.34288,-74.657014
5 Ivy Lane, 40.346778,-74.652911 
114 Nassau Street, 40.34991,-74.658929
179 Nassau Street, 40.350858,-74.655596
185 Nassau Street, 40.351016,-74.655119
201 Nassau Street, 40.351054,-74.654032
221 Nassau Street, 40.351353,-74.652903
86 Olden Street, 40.351338,-74.652242
58 Prospect Avenue, 40.349144,-74.651665
91 Prospect Avenue, 40.349022,-74.649106
116 Prospect Avenue, 40.349976,-74.648577
120 Prospect Avenue, 40.350086,-74.648181
30 University Place, 40.347263,-74.66199
35 University Place, 40.346807,-74.662014
36 University Place, 40.346973,-74.6616
48 University Place, 40.346389,-74.661198
71 University Place, 40.345363,-74.660667
130 University Place, 40.34266,-74.659696
20 Washington Road, 40.349275,-74.656101
1895 Field, 40.342014,-74.655082
1879 Hall, 40.347664,-74.655286
1901 Hall, 40.345964,-74.660136
1903 Hall, 40.346086,-74.656928
1912 Pavilion, 40.343114,-74.653778
1915 Hall, 40.344676,-74.6569
1927-Clapp Hall, 40.345183,-74.655672
1937 Hall, 40.345865,-74.656139
1938 Hall, 40.344972,-74.655345
1939 Hall, 40.345346,-74.656498
1952 Stadium, 40.341458,-74.651284
1967 Hall, 40.343797,-74.656005
1981 Hall, 40.343641,-74.65741
Alexander Hall, 40.348271,-74.660582
Architecture Laboratory, 40.34347,-74.650126
Architecture School, 40.347771,-74.65682
Art Museum, 40.346986,-74.657679
Baker Rink, 40.342856,-74.657701
Bedford Field, 40.341098,-74.652872
Bendheim Center for Finance, 40.348695,-74.653441
Bendheim Hall, 40.348654,-74.654064
Berlind Theatre, 40.344032,-74.660628
Blair Hall, 40.347372,-74.661566
Bloomberg Hall, 40.343043,-74.655917
Bobst Hall, 40.348915,-74.64945
Bogle Hall, 40.34405,-74.655898
Bowen Hall, 40.349474,-74.650199
Brown Hall, 40.346354,-74.657929
Building A (Butler College), 40.344189,-74.656563
Building D (Butler College), 40.344255,-74.656198
Burr Hall, 40.35014,-74.656557
Buyers Hall, 40.347451,-74.660857
Caldwell Fieldhouse, 40.344241,-74.648369
Campbell Field, 40.345794,-74.646696
Campbell Hall, 40.347955,-74.661131
Campus Club, 40.347535,-74.65443
Cannon Club, 40.347747,-74.653263
Cannon Green, 40.348253,-74.659084
Cap & Gown Club, 40.348318,-74.650962
Center for Jewish Life, 40.346642,-74.653655
Chancellor Green, 40.349011,-74.65857
Chapel, 40.348695,-74.656938
Charter Club, 40.348719,-74.649997
Chilled Water Plant, 40.341884,-74.656557
Clarke Field, 40.346642,-74.648108
Class of 1887 Boathouse, 40.339659,-74.650576
Cleveland Tower, 40.340607,-74.664749
Clio Hall, 40.347605,-74.659119
Cloister Inn, 40.348609,-74.650427
Cogeneration Plant, 40.341548,-74.657239
College Road Apartments, 40.34484,-74.661566
Colonial Club, 40.348775,-74.652806
Community Hall, 40.344136,-74.657655
Computer Science Building, 40.350169,-74.652166
Computing Center, 40.348114,-74.64886
Cooling Towers, 40.341392,-74.656374
Corwin Hall, 40.348908,-74.654361
Cottage Club, 40.34829,-74.651525
Cuyler Hall, 40.346058,-74.657472
DeNunzio Pool, 40.343806,-74.647454
Dickinson Hall, 40.348664,-74.656008
Dillon Court East, 40.345121,-74.658054
Dillon Court West, 40.34508,-74.658494
Dillon Gymnasium, 40.345653,-74.658798
Dod Hall, 40.346764,-74.658661
Dodge Hall, 40.34803,-74.657655
Dodge-Osborn Hall, 40.345433,-74.655734
East Pyne Hall, 40.348506,-74.658295
Edwards Hall, 40.347101,-74.659279
